epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6026.49,1.47755,0.72752,0.00207,0.83504,0.4904,0.57044,0.2869,2.20731,1.98841,0.00442,0.000235404,0.000235404,0.000235404
43,6154.41,1.51166,0.74209,0.0021,0.79535,0.505,0.56627,0.28495,2.23264,2.01137,0.0045,0.000214046,0.000214046,0.000214046
44,6304.5,1.48509,0.72026,0.00205,0.80188,0.5305,0.58399,0.29018,2.19892,2.01291,0.00447,0.000193486,0.000193486,0.000193486
45,6456.78,1.47007,0.70622,0.00203,0.72923,0.52316,0.56975,0.29491,2.19268,2.00963,0.00442,0.00017378,0.00017378,0.00017378
46,6596.12,1.47066,0.70789,0.00202,0.81106,0.50932,0.56381,0.28927,2.17816,2.05126,0.00442,0.000154982,0.000154982,0.000154982
47,6736.18,1.47312,0.70679,0.00205,0.8445,0.49379,0.56472,0.29264,2.19967,2.0283,0.00453,0.000137143,0.000137143,0.000137143
48,6874.29,1.46986,0.70106,0.00201,0.87222,0.50282,0.57005,0.29691,2.18907,2.00563,0.00445,0.000120313,0.000120313,0.000120313
49,7028.49,1.44726,0.68672,0.00199,0.82208,0.51525,0.58258,0.30307,2.2101,1.9786,0.00446,0.000104537,0.000104537,0.000104537
50,7156.65,1.44729,0.6718,0.00201,0.81671,0.50347,0.5619,0.29706,2.22785,2.00574,0.00452,8.98581e-05,8.98581e-05,8.98581e-05
51,7296.72,1.39056,0.61178,0.00204,0.84744,0.49586,0.57257,0.29874,2.24517,1.9567,0.00456,7.63174e-05,7.63174e-05,7.63174e-05
52,7449.51,1.37728,0.59671,0.002,0.86065,0.50248,0.56479,0.29256,2.25679,1.99896,0.00458,6.39518e-05,6.39518e-05,6.39518e-05
53,7606.79,1.38715,0.59062,0.002,0.84233,0.50621,0.57544,0.30212,2.23522,1.98062,0.00452,5.2795e-05,5.2795e-05,5.2795e-05
54,7760.84,1.36796,0.61146,0.00199,0.83166,0.508,0.5716,0.30197,2.22151,2.00881,0.00448,4.28777e-05,4.28777e-05,4.28777e-05
55,7913.47,1.38124,0.60142,0.002,0.82903,0.50847,0.57489,0.30307,2.21393,1.99534,0.00447,3.4227e-05,3.4227e-05,3.4227e-05
56,8064.81,1.37365,0.6131,0.00198,0.83336,0.50508,0.5706,0.30027,2.223,2.01199,0.0045,2.68667e-05,2.68667e-05,2.68667e-05
57,8193.64,1.37042,0.60305,0.00197,0.85247,0.50275,0.57402,0.30147,2.22631,2.00197,0.00452,2.08169e-05,2.08169e-05,2.08169e-05
58,8323.01,1.36148,0.5886,0.00195,0.83407,0.5055,0.56907,0.29926,2.22296,2.02311,0.00448,1.60943e-05,1.60943e-05,1.60943e-05
59,8450.31,1.37522,0.59234,0.00198,0.83336,0.50621,0.56982,0.30078,2.22068,2.01243,0.00448,1.27117e-05,1.27117e-05,1.27117e-05
60,8583.09,1.37209,0.60144,0.00198,0.83223,0.50508,0.56811,0.30151,2.21969,2.01352,0.00449,1.06784e-05,1.06784e-05,1.06784e-05
